Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Jungle","Fred again..","USB","journey","Playlist","GBAHS2200844","3fSDSeR4mOGCldB3nhq7M1"
"Delilah (pull me out of this)","Fred again..","Actual Life 3 (January 1 - September 9 2022)","journey","Playlist","GBAHS2201419","3wJrBiiTIRRfKSL2TQWR60"
"Marea (we’ve lost dancing)","Fred again..","Actual Life (April 14 - December 17 2020)","journey","Playlist","GBAHS2100041","5Z8Dj3LtbyCMiwE86rhg2f"
"No Church In The Wild","JAY-Z","Watch The Throne (Deluxe)","journey","Playlist","USUM71111617","3Osd3Yf8K73aj4ySn6LrvK"
"Shining (feat. Beyoncé & Jay-Z)","DJ Khaled","Grateful","journey","Playlist","USSM11701519","3OoZagIW3YK8vjt0ws6NOI"
"Kids Turned Out Fine","A$AP Rocky","TESTING","journey","Playlist","USRC11801928","0qp8MuZNKelOGTK2HPlXBA"
"POPSTAR (feat. Drake)","DJ Khaled","POPSTAR (feat. Drake)","journey","Playlist","USSM12004501","6EDO9iiTtwNv6waLwa1UUq"
"A$AP Forever REMIX (feat. Moby, T.I. & Kid Cudi)","A$AP Rocky","TESTING","journey","Playlist","USRC11802276","3oHkMCVJyOcjg5FhfLc2Rq"
"Cocaine Model","ZHU","THE NIGHTDAY","journey","Playlist","QMALR1400006","6J5Oxg5XtxRdVAbExaWFYB"
"Miss You","Oliver Tree","Miss You","journey","Playlist","USAT22211992","73vIOb4Q7YN6HeJTbscRx5"
"Moving to New York","The Wombats","Proudly Present... A Guide to Love, Loss & Desperation","journey","Playlist","GBFTG0300127","7GvkOFkNsM6Exnkyqeajqm"
"Shittin' Me","A$AP Rocky","Shittin' Me","journey","Playlist","USRC11803837","31UJ8vd4JQc1JEa7TgcDSz"
"L$D","A$AP Rocky","AT.LONG.LAST.A$AP","journey","Playlist","USRC11500789","4S7YHmlWwfwArgd8LfSPud"
"Woozaapooloo","DJ Anikey","Rave 4","journey","Playlist","GBKQU1815169","2LAYLKQX0TqBgAp8hW72wR"
"In My Head","PNAU","Changa","journey","Playlist","AUNV01700126","3MThRdKGUTarLK7RK2RdZs"
"We Are Mirage","Eric Prydz","Liberate (Remixes)","journey","Playlist","GB6CM1200061","6mTnH6xSYwKohtsO9RFzcc"
"Shanghai","King Gizzard & The Lizard Wizard","Butterfly 3000","journey","Playlist","AU2ZC2000053","6HlWKkzNE1WP67OGqtGeBW"
"You Know What I Need","PNAU","You Know What I Need","journey","Playlist","AUNV02201200","3oyBjanJeqPz5cOMDedCyl"
"Changes","Faul & Wad","Changes","journey","Playlist","DEQ321300420","3HwgtcP35ZYE9eAkokSBna"
"D.M.B.","A$AP Rocky","D.M.B.","journey","Playlist","USRC12101600","7IBLt4Qarf4JDLxIQDv2O5"
"Sundress","A$AP Rocky","Sundress","journey","Playlist","USRC11803252","2aPTvyE09vUCRwVvj0I8WK"
"Plain Jane","A$AP Ferg","Still Striving","journey","Playlist","USRC11701803","4dVpf9jZjcORqGTLUaeYj9"
"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)","A$AP Rocky","LONG.LIVE.A$AP (Deluxe Version)","journey","Playlist","USRC11201220","4X5f3vT8MRuXF68pfjNte5"
"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky","TESTING","journey","Playlist","USRC11800930","7ycWLEP1GsNjVvcjawXz3z"
"Pray For Me","The Weeknd","The Highlights","journey","Playlist","USUM71800001","6huNf4dutXRjJyGn7f5BPS"
"Midnight City","M83","Hurry Up, We're Dreaming","journey","Playlist","GB55H1100002","0gnyAfjj9sxtXmpcAf3AKu"
"Moon","Kanye West","Donda (Deluxe)","journey","Playlist","USUM72116291","0tffNoL4418lhzZmJJFNB7"
"Jail","Kanye West","Donda","journey","Playlist","USUM72116263","6d8HN8MqqbqrEUI2bvx0aG"
"Apparently","J. Cole","2014 Forest Hills Drive","journey","Playlist","USQX91402600","5O59s7bCgTFsXDXlWecyQ1"
"Wet Dreamz","J. Cole","2014 Forest Hills Drive","journey","Playlist","USQX91402592","4tqcoej1zPvwePZCzuAjJd"
"No Child Left Behind","Kanye West","Donda","journey","Playlist","USUM72116303","3hd6zLhnTlbJ8PupYt3cAI"
"Just What I Am","Kid Cudi","The Boy Who Flew To The Moon (Vol. 1)","journey","Playlist","USUM71210095","4qXg9vd7ghwxghsH4ygU4o"
"If We Ever Meet Again (Featuring Katy Perry)","Timbaland","Shock Value II","journey","Playlist","USUM70913828","360UM2DaiHZPRu0EsrOvMp"
"Rich Flex","Drake","Her Loss","journey","Playlist","USUG12208598","1bDbXMyjaUIooNwFE9wn0N"
"Ms. Jackson","Outkast","Stankonia","journey","Playlist","USLF20000357","0I3q5fE6wg7LIfHGngUTnV"
"Yeah The Girls","FISHER","Yeah the Girls","journey","Playlist","QM24S2203777","2VMY0nOCTH6nVoWVOLJ9LR"
"Freaks","FISHER","Freaks","journey","Playlist","QZA742002490","7f4rLiuUmeWCgkErVvJROi"
"Just Feels Tight","FISHER","Just Feels Tight","journey","Playlist","CA5KR2183948","7wT85929YTgiyb2cQDe2fb"
"Ya Kidding","FISHER","Ya Kidding","journey","Playlist","GBKQU1759214","0OqYUhSOVrSD2ur7RFrrOm"
"It's A Killa","FISHER","It's A Killa","journey","Playlist","QM24S2200746","4NCa2hLBUh763tF9DyLJQR"
"You Little Beauty","FISHER","You Little Beauty","journey","Playlist","CA5KR1923939","44Lfefp20d2JE2EEvOnaXD"
"World, Hold On - FISHER Rework","Bob Sinclar","World, Hold On (FISHER Rework)","journey","Playlist","FR4E42227000","2RQKlYWFPUO5BG7AiPAiOe"
"Turn On The Lights again.. (feat. Future)","Fred again..","Turn On The Lights again.. (feat. Future)","journey","Playlist","GBAHS2201001","6gdDu39yYqPcaTgCwYEW8i"
"Kernkraft 400 - DJ Gius Mix, Radio Edit","Zombie Nation","Kernkraft 400 Single Mixes","journey","Playlist","DE-Z20-06-00039","7g8cjrj0sXScNE727685JE"
"Losing It","FISHER","Losing It","journey","Playlist","CA5KR1821202","62WEkOD8TUO7wzkolOQW9v"
"Pink + White","Frank Ocean","Blonde","journey","Playlist","QZ5C81600003","3xKsf9qdS1CyvXSMEid6g8"
"Nights","Frank Ocean","Blonde","journey","Playlist","QZ5C81600009","7eqoqGkKwgOaWNNHx90uEZ"
"Ivy","Frank Ocean","Blonde","journey","Playlist","QZ5C81600002","2ZWlPOoWh0626oTaHrnl2a"
"Novacane","Frank Ocean","Novacane","journey","Playlist","USUM71107257","4osgfFTICMkcGbbigdsa53"
"BILLIE EILISH.","Armani White","BILLIE EILISH.","journey","Playlist","SGB502248062","27ZZdyTSQWI7Cug2d2PkqV"
"I Made It (Cash Money Heroes)","Kevin Rudolf","To The Sky","journey","Playlist","USCM51000056","6H2wnX7ytNeCKERIVqCwgs"
"The Motto","Drake","Take Care (Deluxe)","journey","Playlist","USCM51100731","4Kz4RdRCceaA9VgTqBhBfa"
"Forever","Drake","Relapse: Refill","journey","Playlist","USUM70920707","5UsLjwBaTHBX4ektWIr4XX"
"Tequila Shots","Kid Cudi","Man On The Moon III: The Chosen","journey","Playlist","USUM72023838","30KctD1WsHKTIYczXjip5a"
"Mob Ties","Drake","Scorpion","journey","Playlist","USCM51800211","7rC5Pl8rQSX4myONQHYPBK"
"Narco","Blasterjaxx","Narco","journey","Playlist","NLZ541701306","4TuNI3WEMyLQAKRMJmcQdA"
"Nice For What","Drake","Scorpion","journey","Playlist","USCM51800077","3CA9pLiwRIGtUBiMjbZmRw"
"Dua Lipa","Jack Harlow","Come Home The Kids Miss You","journey","Playlist","USAT22203482","0LnS7aOdOdI1dNKZqdOLz4"
"Use Somebody","Kings of Leon","Only By The Night","journey","Playlist","USRC10800301","5VGlqQANWDKJFl0MBG3sg2"
"Sex on Fire","Kings of Leon","Only By The Night","journey","Playlist","USRC10800300","0ntQJM78wzOLVeCUAW7Y45"
